ds,y,crop,market
2023-12-03,2366.53,rice,patna
2023-12-04,2406.05,rice,patna
2023-12-05,2391.46,rice,patna
2023-12-06,2399.78,rice,patna
2023-12-07,2442.49,rice,patna
2023-12-08,2374.48,rice,patna
2023-12-09,2403.83,rice,patna
2023-12-10,2421.82,rice,patna
2023-12-11,2445.41,rice,patna
2023-12-12,2522.23,rice,patna
2023-12-13,2444.71,rice,patna
2023-12-14,2462.52,rice,patna
2023-12-15,2538.61,rice,patna
2023-12-16,2427.1,rice,patna
2023-12-17,2463.41,rice,patna
2023-12-18,2345.28,rice,patna
2023-12-19,2357.87,rice,patna
2023-12-20,2289.41,rice,patna
2023-12-21,2296.62,rice,patna
2023-12-22,2337.35,rice,patna
2023-12-23,2175.27,rice,patna
2023-12-24,2277.48,rice,patna
2023-12-25,2254.84,rice,patna
2023-12-26,2202.61,rice,patna
2023-12-27,2154.87,rice,patna
2023-12-28,2243.09,rice,patna
2023-12-29,2220.06,rice,patna
2023-12-30,2276.91,rice,patna
2023-12-31,2284.41,rice,patna
2024-01-01,2393.69,rice,patna
2024-01-02,2317.07,rice,patna
2024-01-03,2299.71,rice,patna
2024-01-04,2391.58,rice,patna
2024-01-05,2418.3,rice,patna
2024-01-06,2503.08,rice,patna
2024-01-07,2492.99,rice,patna
2024-01-08,2481.15,rice,patna
2024-01-09,2551.49,rice,patna
2024-01-10,2409.66,rice,patna
2024-01-11,2438.2,rice,patna
2024-01-12,2415.06,rice,patna
2024-01-13,2431.77,rice,patna
2024-01-14,2359.72,rice,patna
2024-01-15,2448.32,rice,patna
2024-01-16,2375.74,rice,patna
2024-01-17,2279.28,rice,patna
2024-01-18,2275.3,rice,patna
2024-01-19,2319.35,rice,patna
2024-01-20,2320.29,rice,patna
2024-01-21,2358.36,rice,patna
2024-01-22,2386.46,rice,patna
2024-01-23,2230.82,rice,patna
2024-01-24,2140.32,rice,patna
2024-01-25,2069.56,rice,patna
2024-01-26,2199.24,rice,patna
2024-01-27,2143.11,rice,patna
2024-01-28,2173.65,rice,patna
2024-01-29,2176.38,rice,patna
2024-01-30,2220.05,rice,patna
2024-01-31,2307.47,rice,patna
2024-02-01,2280.81,rice,patna
2024-02-02,2287.92,rice,patna
2024-02-03,2264.13,rice,patna
2024-02-04,2252.22,rice,patna
2024-02-05,2338.47,rice,patna
2024-02-06,2379.78,rice,patna
2024-02-07,2493.25,rice,patna
2024-02-08,2411.51,rice,patna
2024-02-09,2461.29,rice,patna
2024-02-10,2377.0,rice,patna
2024-02-11,2330.83,rice,patna
2024-02-12,2329.04,rice,patna
2024-02-13,2323.41,rice,patna
2024-02-14,2457.3,rice,patna
2024-02-15,2268.63,rice,patna
2024-02-16,2331.17,rice,patna
2024-02-17,2205.43,rice,patna
2024-02-18,2276.35,rice,patna
2024-02-19,2217.48,rice,patna
2024-02-20,2161.18,rice,patna
2024-02-21,2144.36,rice,patna
2024-02-22,2091.61,rice,patna
2024-02-23,2138.08,rice,patna
2024-02-24,2079.84,rice,patna
2024-02-25,2034.42,rice,patna
2024-02-26,2034.14,rice,patna
2024-02-27,2121.91,rice,patna
2024-02-28,2212.17,rice,patna
2024-02-29,2151.24,rice,patna
2024-03-01,2156.38,rice,patna
2024-03-02,2201.38,rice,patna
2024-03-03,2281.43,rice,patna
2024-03-04,2245.61,rice,patna
2024-03-05,2233.7,rice,patna
2024-03-06,2337.59,rice,patna
2024-03-07,2317.43,rice,patna
2024-03-08,2391.2,rice,patna
2024-03-09,2324.77,rice,patna
2024-03-10,2249.91,rice,patna
2024-03-11,2238.93,rice,patna
2024-03-12,2396.26,rice,patna
2024-03-13,2386.14,rice,patna
2024-03-14,2262.43,rice,patna
2024-03-15,2227.98,rice,patna
2024-03-16,2302.85,rice,patna
2024-03-17,2132.71,rice,patna
2024-03-18,2114.34,rice,patna
2024-03-19,2168.89,rice,patna
2024-03-20,2082.97,rice,patna
2024-03-21,2077.87,rice,patna
2024-03-22,2046.01,rice,patna
2024-03-23,2054.64,rice,patna
2024-03-24,2099.5,rice,patna
2024-03-25,2018.51,rice,patna
2024-03-26,2046.06,rice,patna
2024-03-27,1900.66,rice,patna
2024-03-28,2018.95,rice,patna
2024-03-29,1988.4,rice,patna
2024-03-30,1985.13,rice,patna
2024-03-31,2024.63,rice,patna
2024-04-01,2077.64,rice,patna
2024-04-02,2170.69,rice,patna
2024-04-03,2071.7,rice,patna
2024-04-04,2169.51,rice,patna
2024-04-05,2162.08,rice,patna
2024-04-06,2188.27,rice,patna
2024-04-07,2274.84,rice,patna
2024-04-08,2257.79,rice,patna
2024-04-09,2304.88,rice,patna
2024-04-10,2220.34,rice,patna
2024-04-11,2182.45,rice,patna
2024-04-12,2194.95,rice,patna
2024-04-13,2202.24,rice,patna
2024-04-14,2176.07,rice,patna
2024-04-15,2080.87,rice,patna
2024-04-16,2117.37,rice,patna
2024-04-17,2095.69,rice,patna
2024-04-18,2192.38,rice,patna
2024-04-19,2129.14,rice,patna
2024-04-20,1953.34,rice,patna
2024-04-21,1962.2,rice,patna
2024-04-22,1879.52,rice,patna
2024-04-23,1914.48,rice,patna
2024-04-24,1956.74,rice,patna
2024-04-25,2003.81,rice,patna
2024-04-26,1901.19,rice,patna
2024-04-27,1914.56,rice,patna
2024-04-28,1846.65,rice,patna
2024-04-29,1974.3,rice,patna
2024-04-30,1946.68,rice,patna
2024-05-01,2000.23,rice,patna
2024-05-02,2006.59,rice,patna
2024-05-03,2075.14,rice,patna
2024-05-04,2008.04,rice,patna
2024-05-05,2046.15,rice,patna
2024-05-06,2262.78,rice,patna
2024-05-07,2089.52,rice,patna
2024-05-08,2109.8,rice,patna
2024-05-09,2275.6,rice,patna
2024-05-10,2333.2,rice,patna
2024-05-11,2102.23,rice,patna
2024-05-12,2134.31,rice,patna
2024-05-13,2156.39,rice,patna
2024-05-14,2211.55,rice,patna
2024-05-15,2037.77,rice,patna
2024-05-16,2051.89,rice,patna
2024-05-17,2080.33,rice,patna
2024-05-18,2033.75,rice,patna
2024-05-19,1962.64,rice,patna
2024-05-20,1951.83,rice,patna
2024-05-21,1862.83,rice,patna
2024-05-22,1908.89,rice,patna
2024-05-23,1895.86,rice,patna
2024-05-24,1917.26,rice,patna
2024-05-25,1873.63,rice,patna
2024-05-26,1935.51,rice,patna
2024-05-27,1976.13,rice,patna
2024-05-28,1944.82,rice,patna
2024-05-29,1975.73,rice,patna
2024-05-30,1982.83,rice,patna
2024-05-31,2005.79,rice,patna
2024-06-01,1993.23,rice,patna
2024-06-02,2077.51,rice,patna
2024-06-03,2080.82,rice,patna
2024-06-04,2225.1,rice,patna
2024-06-05,2217.05,rice,patna
2024-06-06,2168.1,rice,patna
2024-06-07,2116.42,rice,patna
2024-06-08,2103.37,rice,patna
2024-06-09,2230.64,rice,patna
2024-06-10,2174.55,rice,patna
2024-06-11,2176.15,rice,patna
2024-06-12,2038.56,rice,patna
2024-06-13,2166.13,rice,patna
2024-06-14,2117.45,rice,patna
2024-06-15,2006.46,rice,patna
2024-06-16,2015.55,rice,patna
2024-06-17,2030.01,rice,patna
2024-06-18,1993.64,rice,patna
2024-06-19,1952.31,rice,patna
2024-06-20,1943.7,rice,patna
2024-06-21,1920.83,rice,patna
2024-06-22,1933.36,rice,patna
2024-06-23,2001.63,rice,patna
2024-06-24,1780.98,rice,patna
2024-06-25,1916.26,rice,patna
2024-06-26,1951.61,rice,patna
2024-06-27,1975.76,rice,patna
2024-06-28,1960.89,rice,patna
2024-06-29,1909.98,rice,patna
2024-06-30,2052.26,rice,patna
2024-07-01,2158.08,rice,patna
2024-07-02,2007.62,rice,patna
2024-07-03,2167.27,rice,patna
2024-07-04,2127.21,rice,patna
2024-07-05,2164.14,rice,patna
2024-07-06,2127.67,rice,patna
2024-07-07,2180.38,rice,patna
2024-07-08,2278.12,rice,patna
2024-07-09,2240.9,rice,patna
2024-07-10,2300.77,rice,patna
2024-07-11,2261.53,rice,patna
2024-07-12,2207.34,rice,patna
2024-07-13,2261.34,rice,patna
2024-07-14,2168.51,rice,patna
2024-07-15,2166.58,rice,patna
2024-07-16,2080.28,rice,patna
2024-07-17,2075.84,rice,patna
2024-07-18,2010.63,rice,patna
2024-07-19,2082.59,rice,patna
2024-07-20,1945.9,rice,patna
2024-07-21,2040.55,rice,patna
2024-07-22,1978.82,rice,patna
2024-07-23,2050.94,rice,patna
2024-07-24,2030.73,rice,patna
2024-07-25,2098.17,rice,patna
2024-07-26,2052.27,rice,patna
2024-07-27,1944.62,rice,patna
2024-07-28,2050.66,rice,patna
2024-07-29,2016.52,rice,patna
2024-07-30,2081.46,rice,patna
2024-07-31,2223.28,rice,patna
2024-08-01,2205.46,rice,patna
2024-08-02,2161.03,rice,patna
2024-08-03,2170.52,rice,patna
2024-08-04,2251.58,rice,patna
2024-08-05,2202.17,rice,patna
2024-08-06,2246.58,rice,patna
2024-08-07,2309.69,rice,patna
2024-08-08,2359.48,rice,patna
2024-08-09,2327.21,rice,patna
2024-08-10,2160.12,rice,patna
2024-08-11,2290.4,rice,patna
2024-08-12,2260.94,rice,patna
2024-08-13,2259.74,rice,patna
2024-08-14,2303.58,rice,patna
2024-08-15,2077.77,rice,patna
2024-08-16,2135.31,rice,patna
2024-08-17,2178.09,rice,patna
2024-08-18,2038.7,rice,patna
2024-08-19,2190.33,rice,patna
2024-08-20,2117.11,rice,patna
2024-08-21,2136.04,rice,patna
2024-08-22,2056.13,rice,patna
2024-08-23,2136.0,rice,patna
2024-08-24,2159.38,rice,patna
2024-08-25,2128.22,rice,patna
2024-08-26,2148.02,rice,patna
2024-08-27,2173.95,rice,patna
2024-08-28,2138.9,rice,patna
2024-08-29,2207.89,rice,patna
2024-08-30,2238.42,rice,patna
2024-08-31,2298.7,rice,patna
2024-09-01,2362.24,rice,patna
2024-09-02,2276.36,rice,patna
2024-09-03,2351.69,rice,patna
2024-09-04,2459.81,rice,patna
2024-09-05,2352.28,rice,patna
2024-09-06,2357.4,rice,patna
2024-09-07,2417.54,rice,patna
2024-09-08,2450.99,rice,patna
2024-09-09,2397.9,rice,patna
2024-09-10,2458.17,rice,patna
2024-09-11,2415.78,rice,patna
2024-09-12,2395.18,rice,patna
2024-09-13,2357.27,rice,patna
2024-09-14,2431.53,rice,patna
2024-09-15,2268.93,rice,patna
2024-09-16,2147.9,rice,patna
2024-09-17,2326.51,rice,patna
2024-09-18,2196.6,rice,patna
2024-09-19,2215.42,rice,patna
2024-09-20,2274.13,rice,patna
2024-09-21,2111.98,rice,patna
2024-09-22,2134.91,rice,patna
2024-09-23,2124.95,rice,patna
2024-09-24,2183.99,rice,patna
2024-09-25,2271.41,rice,patna
2024-09-26,2299.81,rice,patna
2024-09-27,2313.25,rice,patna
2024-09-28,2249.72,rice,patna
2024-09-29,2230.88,rice,patna
2024-09-30,2391.42,rice,patna
2024-10-01,2391.77,rice,patna
2024-10-02,2469.94,rice,patna
2024-10-03,2506.86,rice,patna
2024-10-04,2495.19,rice,patna
2024-10-05,2543.78,rice,patna
2024-10-06,2523.53,rice,patna
2024-10-07,2543.34,rice,patna
2024-10-08,2473.02,rice,patna
2024-10-09,2494.05,rice,patna
2024-10-10,2501.94,rice,patna
2024-10-11,2519.19,rice,patna
2024-10-12,2431.97,rice,patna
2024-10-13,2459.5,rice,patna
2024-10-14,2392.22,rice,patna
2024-10-15,2376.33,rice,patna
2024-10-16,2405.52,rice,patna
2024-10-17,2229.66,rice,patna
2024-10-18,2250.65,rice,patna
2024-10-19,2227.29,rice,patna
2024-10-20,2172.2,rice,patna
2024-10-21,2260.34,rice,patna
2024-10-22,2341.56,rice,patna
2024-10-23,2292.99,rice,patna
2024-10-24,2333.21,rice,patna
2024-10-25,2400.78,rice,patna
2024-10-26,2436.62,rice,patna
2024-10-27,2385.81,rice,patna
2024-10-28,2492.34,rice,patna
2024-10-29,2452.37,rice,patna
2024-10-30,2430.62,rice,patna
2024-10-31,2472.12,rice,patna
2024-11-01,2449.16,rice,patna
2024-11-02,2504.12,rice,patna
2024-11-03,2551.4,rice,patna
2024-11-04,2628.43,rice,patna
2024-11-05,2686.56,rice,patna
2024-11-06,2517.88,rice,patna
2024-11-07,2611.79,rice,patna
2024-11-08,2523.78,rice,patna
2024-11-09,2592.97,rice,patna
2024-11-10,2541.23,rice,patna
2024-11-11,2425.92,rice,patna
2024-11-12,2553.49,rice,patna
2024-11-13,2443.74,rice,patna
2024-11-14,2422.18,rice,patna
2024-11-15,2368.36,rice,patna
2024-11-16,2369.11,rice,patna
2024-11-17,2409.82,rice,patna
2024-11-18,2361.23,rice,patna
2024-11-19,2379.94,rice,patna
2024-11-20,2377.33,rice,patna
2024-11-21,2431.22,rice,patna
2024-11-22,2346.48,rice,patna
2024-11-23,2296.2,rice,patna
2024-11-24,2453.08,rice,patna
2024-11-25,2397.28,rice,patna
2024-11-26,2501.21,rice,patna
2024-11-27,2487.65,rice,patna
2024-11-28,2487.13,rice,patna
2024-11-29,2541.24,rice,patna
2024-11-30,2655.85,rice,patna
2024-12-01,2686.88,rice,patna
2024-12-02,2597.17,rice,patna
2024-12-03,2618.6,rice,patna
2024-12-04,2680.43,rice,patna
2024-12-05,2580.71,rice,patna
2024-12-06,2645.82,rice,patna
2024-12-07,2620.64,rice,patna
2024-12-08,2628.43,rice,patna
2024-12-09,2549.46,rice,patna
2024-12-10,2487.71,rice,patna
2024-12-11,2437.56,rice,patna
2024-12-12,2464.2,rice,patna
2024-12-13,2473.26,rice,patna
2024-12-14,2455.14,rice,patna
2024-12-15,2551.71,rice,patna
2024-12-16,2482.14,rice,patna
2024-12-17,2347.83,rice,patna
2024-12-18,2403.46,rice,patna
2024-12-19,2350.41,rice,patna
2024-12-20,2350.97,rice,patna
2024-12-21,2376.2,rice,patna
2024-12-22,2405.05,rice,patna
2024-12-23,2362.68,rice,patna
2024-12-24,2455.06,rice,patna
2024-12-25,2353.11,rice,patna
2024-12-26,2438.92,rice,patna
2024-12-27,2606.35,rice,patna
2024-12-28,2501.79,rice,patna
2024-12-29,2594.33,rice,patna
2024-12-30,2545.28,rice,patna
2024-12-31,2594.57,rice,patna
2025-01-01,2578.5,rice,patna
2025-01-02,2586.96,rice,patna
2025-01-03,2563.21,rice,patna
2025-01-04,2634.03,rice,patna
2025-01-05,2562.12,rice,patna
2025-01-06,2638.44,rice,patna
2025-01-07,2648.96,rice,patna
2025-01-08,2591.89,rice,patna
2025-01-09,2534.18,rice,patna
2025-01-10,2549.69,rice,patna
2025-01-11,2480.19,rice,patna
2025-01-12,2519.84,rice,patna
2025-01-13,2338.82,rice,patna
2025-01-14,2393.39,rice,patna
2025-01-15,2276.93,rice,patna
2025-01-16,2282.06,rice,patna
2025-01-17,2421.34,rice,patna
2025-01-18,2382.48,rice,patna
2025-01-19,2285.96,rice,patna
2025-01-20,2240.78,rice,patna
2025-01-21,2163.87,rice,patna
2025-01-22,2305.89,rice,patna
2025-01-23,2482.65,rice,patna
2025-01-24,2391.37,rice,patna
2025-01-25,2357.9,rice,patna
2025-01-26,2437.76,rice,patna
2025-01-27,2350.97,rice,patna
2025-01-28,2445.08,rice,patna
2025-01-29,2490.3,rice,patna
2025-01-30,2501.14,rice,patna
2025-01-31,2567.05,rice,patna
2025-02-01,2555.93,rice,patna
2025-02-02,2582.21,rice,patna
2025-02-03,2510.63,rice,patna
2025-02-04,2595.22,rice,patna
2025-02-05,2627.11,rice,patna
2025-02-06,2470.41,rice,patna
2025-02-07,2456.24,rice,patna
2025-02-08,2555.58,rice,patna
2025-02-09,2445.27,rice,patna
2025-02-10,2504.36,rice,patna
2025-02-11,2372.95,rice,patna
2025-02-12,2447.44,rice,patna
2025-02-13,2345.93,rice,patna
2025-02-14,2326.47,rice,patna
2025-02-15,2375.22,rice,patna
2025-02-16,2250.36,rice,patna
2025-02-17,2204.5,rice,patna
2025-02-18,2222.97,rice,patna
2025-02-19,2269.54,rice,patna
2025-02-20,2161.21,rice,patna
2025-02-21,2290.43,rice,patna
2025-02-22,2238.69,rice,patna
2025-02-23,2348.62,rice,patna
2025-02-24,2174.3,rice,patna
2025-02-25,2285.52,rice,patna
2025-02-26,2259.99,rice,patna
2025-02-27,2331.27,rice,patna
2025-02-28,2413.1,rice,patna
2025-03-01,2410.08,rice,patna
2025-03-02,2423.12,rice,patna
2025-03-03,2441.18,rice,patna
2025-03-04,2469.09,rice,patna
2025-03-05,2404.99,rice,patna
2025-03-06,2496.24,rice,patna
2025-03-07,2485.07,rice,patna
2025-03-08,2455.66,rice,patna
2025-03-09,2446.03,rice,patna
2025-03-10,2408.44,rice,patna
2025-03-11,2477.45,rice,patna
2025-03-12,2331.81,rice,patna
2025-03-13,2289.61,rice,patna
2025-03-14,2234.97,rice,patna
2025-03-15,2190.74,rice,patna
2025-03-16,2152.49,rice,patna
2025-03-17,2148.82,rice,patna
2025-03-18,2174.83,rice,patna
2025-03-19,2183.04,rice,patna
2025-03-20,2158.82,rice,patna
2025-03-21,2110.92,rice,patna
2025-03-22,2205.23,rice,patna
2025-03-23,2204.49,rice,patna
2025-03-24,2168.09,rice,patna
2025-03-25,2158.25,rice,patna
2025-03-26,2244.97,rice,patna
2025-03-27,2248.12,rice,patna
2025-03-28,2182.31,rice,patna
2025-03-29,2282.42,rice,patna
2025-03-30,2323.62,rice,patna
2025-03-31,2280.48,rice,patna
2025-04-01,2357.85,rice,patna
2025-04-02,2280.64,rice,patna
2025-04-03,2442.5,rice,patna
2025-04-04,2440.62,rice,patna
2025-04-05,2355.45,rice,patna
2025-04-06,2381.06,rice,patna
2025-04-07,2214.89,rice,patna
2025-04-08,2265.31,rice,patna
2025-04-09,2290.04,rice,patna
2025-04-10,2221.2,rice,patna
2025-04-11,2291.16,rice,patna
2025-04-12,2332.28,rice,patna
2025-04-13,2128.3,rice,patna
2025-04-14,2118.76,rice,patna
2025-04-15,2151.93,rice,patna
2025-04-16,2205.12,rice,patna
2025-04-17,2031.07,rice,patna
2025-04-18,2098.75,rice,patna
2025-04-19,2177.43,rice,patna
2025-04-20,1984.3,rice,patna
2025-04-21,2008.27,rice,patna
2025-04-22,2064.46,rice,patna
2025-04-23,2073.11,rice,patna
2025-04-24,2164.7,rice,patna
2025-04-25,2154.94,rice,patna
2025-04-26,2068.02,rice,patna
2025-04-27,2219.22,rice,patna
2025-04-28,2184.38,rice,patna
2025-04-29,2310.37,rice,patna
2025-04-30,2227.64,rice,patna
2025-05-01,2245.72,rice,patna
2025-05-02,2324.91,rice,patna
2025-05-03,2346.65,rice,patna
2025-05-04,2333.52,rice,patna
2025-05-05,2214.75,rice,patna
2025-05-06,2330.04,rice,patna
2025-05-07,2231.19,rice,patna
2025-05-08,2283.79,rice,patna
2025-05-09,2171.14,rice,patna
2025-05-10,2249.3,rice,patna
2025-05-11,2153.44,rice,patna
2025-05-12,2099.19,rice,patna
2025-05-13,2180.97,rice,patna
2025-05-14,2128.22,rice,patna
2025-05-15,2056.74,rice,patna
2025-05-16,2149.3,rice,patna
2025-05-17,2028.51,rice,patna
2025-05-18,2042.74,rice,patna
2025-05-19,2049.46,rice,patna
2025-05-20,1999.99,rice,patna
2025-05-21,2065.09,rice,patna
2025-05-22,2020.4,rice,patna
2025-05-23,2042.65,rice,patna
2025-05-24,2160.06,rice,patna
2025-05-25,2051.11,rice,patna
2025-05-26,2001.23,rice,patna
2025-05-27,2249.37,rice,patna
2025-05-28,2327.87,rice,patna
2025-05-29,2191.13,rice,patna
2025-05-30,2130.41,rice,patna
2025-05-31,2240.1,rice,patna
2025-06-01,2257.51,rice,patna
2025-06-02,2274.02,rice,patna
2025-06-03,2229.09,rice,patna
2025-06-04,2322.48,rice,patna
2025-06-05,2314.14,rice,patna
2025-06-06,2192.44,rice,patna
2025-06-07,2297.56,rice,patna
2025-06-08,2352.32,rice,patna
2025-06-09,2225.92,rice,patna
2025-06-10,2172.69,rice,patna
2025-06-11,2157.1,rice,patna
2025-06-12,2172.47,rice,patna
2025-06-13,2018.4,rice,patna
2025-06-14,2099.96,rice,patna
2025-06-15,2050.17,rice,patna
2025-06-16,2158.29,rice,patna
2025-06-17,2037.06,rice,patna
2025-06-18,2133.83,rice,patna
2025-06-19,1982.54,rice,patna
2025-06-20,2082.41,rice,patna
2025-06-21,2080.01,rice,patna
2025-06-22,2031.95,rice,patna
2025-06-23,2111.08,rice,patna
2025-06-24,2192.99,rice,patna
2025-06-25,2135.84,rice,patna
2025-06-26,2089.17,rice,patna
2025-06-27,2209.9,rice,patna
2025-06-28,2188.75,rice,patna
2025-06-29,2244.81,rice,patna
2025-06-30,2281.12,rice,patna
2025-07-01,2209.6,rice,patna
2025-07-02,2227.48,rice,patna
2025-07-03,2350.44,rice,patna
2025-07-04,2297.16,rice,patna
2025-07-05,2181.24,rice,patna
2025-07-06,2356.5,rice,patna
2025-07-07,2314.48,rice,patna
2025-07-08,2242.23,rice,patna
2025-07-09,2187.77,rice,patna
2025-07-10,2282.6,rice,patna
2025-07-11,2231.16,rice,patna
2025-07-12,2318.34,rice,patna
2025-07-13,2187.0,rice,patna
2025-07-14,2164.15,rice,patna
2025-07-15,2115.98,rice,patna
2025-07-16,2156.68,rice,patna
2025-07-17,2137.7,rice,patna
2025-07-18,2169.17,rice,patna
2025-07-19,2074.36,rice,patna
2025-07-20,2087.48,rice,patna
2025-07-21,2098.92,rice,patna
2025-07-22,2187.57,rice,patna
2025-07-23,2249.56,rice,patna
2025-07-24,2168.36,rice,patna
2025-07-25,2199.03,rice,patna
2025-07-26,2269.69,rice,patna
2025-07-27,2268.95,rice,patna
2025-07-28,2363.74,rice,patna
2025-07-29,2214.17,rice,patna
2025-07-30,2315.88,rice,patna
2025-07-31,2337.46,rice,patna
2025-08-01,2267.13,rice,patna
2025-08-02,2350.64,rice,patna
2025-08-03,2356.57,rice,patna
2025-08-04,2393.49,rice,patna
2025-08-05,2458.04,rice,patna
2025-08-06,2370.73,rice,patna
2025-08-07,2310.71,rice,patna
2025-08-08,2344.15,rice,patna
2025-08-09,2382.58,rice,patna
2025-08-10,2247.63,rice,patna
2025-08-11,2227.69,rice,patna
2025-08-12,2286.16,rice,patna
2025-08-13,2223.26,rice,patna
2025-08-14,2254.42,rice,patna
2025-08-15,2205.66,rice,patna
2025-08-16,2237.55,rice,patna
2025-08-17,2140.0,rice,patna
2025-08-18,2199.9,rice,patna
2025-08-19,2198.28,rice,patna
2025-08-20,2157.72,rice,patna
2025-08-21,2158.27,rice,patna
2025-08-22,2305.87,rice,patna
2025-08-23,2276.1,rice,patna
2025-08-24,2268.75,rice,patna
2025-08-25,2350.45,rice,patna
2025-08-26,2448.56,rice,patna
2025-08-27,2290.68,rice,patna
2025-08-28,2361.11,rice,patna
2025-08-29,2416.63,rice,patna
2025-08-30,2567.51,rice,patna
2025-08-31,2517.52,rice,patna
2025-09-01,2553.62,rice,patna
2025-09-02,2452.49,rice,patna
2025-09-03,2451.77,rice,patna
2025-09-04,2530.71,rice,patna
2025-09-05,2497.11,rice,patna
2025-09-06,2507.68,rice,patna
2025-09-07,2447.43,rice,patna
2025-09-08,2450.99,rice,patna
2025-09-09,2421.14,rice,patna
2025-09-10,2431.97,rice,patna
2025-09-11,2411.5,rice,patna
2025-09-12,2258.25,rice,patna
2025-09-13,2207.3,rice,patna
2025-09-14,2373.77,rice,patna
2025-09-15,2376.68,rice,patna
2025-09-16,2253.3,rice,patna
2025-09-17,2210.86,rice,patna
2025-09-18,2327.94,rice,patna
2025-09-19,2388.43,rice,patna
2025-09-20,2455.75,rice,patna
2025-09-21,2409.13,rice,patna
2025-09-22,2387.46,rice,patna
2025-09-23,2388.25,rice,patna
2025-09-24,2468.63,rice,patna
2025-09-25,2482.15,rice,patna
2025-09-26,2472.19,rice,patna
2025-09-27,2667.78,rice,patna
2025-09-28,2676.99,rice,patna
2025-09-29,2660.75,rice,patna
2025-09-30,2562.15,rice,patna
2025-10-01,2668.91,rice,patna
2025-10-02,2660.48,rice,patna
2025-10-03,2647.37,rice,patna
2025-10-04,2684.07,rice,patna
2025-10-05,2637.64,rice,patna
2025-10-06,2626.5,rice,patna
2025-10-07,2600.56,rice,patna
2025-10-08,2561.66,rice,patna
2025-10-09,2420.99,rice,patna
2025-10-10,2499.83,rice,patna
2025-10-11,2441.93,rice,patna
2025-10-12,2381.69,rice,patna
2025-10-13,2527.45,rice,patna
2025-10-14,2517.1,rice,patna
2025-10-15,2488.7,rice,patna
2025-10-16,2425.28,rice,patna
2025-10-17,2488.44,rice,patna
2025-10-18,2423.34,rice,patna
2025-10-19,2447.71,rice,patna
